EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1547006;1;01/04/1986;1;"32,0";"75,1";22;9;1;1;0;"896,4";1;"3,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,6";"5,9";"21,1";"0,0";"0,0";"0,2";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"32,0";"0,0";"0,4";"7,3";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547006;1;01/03/1986;1;"45,2";"74,2";2;10;1;1;0;"896,4";1;"3,2";"45,2";"3,9";"1,2";"9,3";"4,7";"0,0";"2,7";"3,0";"0,0";"0,0";"0,0";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547006;1;01/02/1986;1;"16,8";"70,7";5;15;1;1;0;"896,4";1;"2,5";"0,0";"14,0";"1,8";"16,8";"9,0";"2,0";"3,2";"0,0";"0,0";"0,0";"0,2";"0,0";"14,6";"0,5";"0,2";"1,2";"0,0";"0,9";"0,6";"0,0";"0,0";"0,0";"0,0";"3,2";"0,0";"0,0";"0,0";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
1547006;1;01/01/1986;1;"28,3";"144,1";29;17;1;1;0;"896,4";1;"3,0";"0,7";"0,4";"0,0";"0,0";"0,0";"18,5";"1,1";"5,8";"6,1";"0,6";"0,0";"11,1";"16,4";"11,6";"25,4";"1,6";"0,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"7,2";"5,8";"28,3";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547006;1;01/12/1985;1;"80,0";"312,5";25;23;1;1;0;"1480,6";1;"0,0";"0,0";"1,5";"4,8";"0,0";"0,0";"5,0";"8,1";"0,0";"3,0";"0,0";"0,4";"6,5";"5,4";"0,0";"10,5";"0,2";"2,5";"0,0";"23,1";"10,4";"14,4";"14,2";"15,4";"80,0";"3,5";"14,9";"36,9";"19,1";"28,2";"4,5";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547006;1;01/11/1985;1;"40,7";"147,1";8;14;1;1;0;"1480,6";1;"1,4";"1,0";"0,0";"0,0";"0,0";"13,6";"6,8";"40,7";"2,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,7";"0,0";"0,0";"0,0";"17,4";"12,0";"7,9";"0,0";"0,0";"11,0";"20,7";"4,9";"6,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547006;1;01/10/1985;1;"44,7";"196,6";25;15;1;1;0;"1480,6";1;"0,0";"0,0";"0,0";"0,0";"9,4";"0,0";"5,9";"1,8";"0,0";"0,0";"0,9";"0,0";"0,0";"0,0";"28,0";"5,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"41,9";"0,0";"44,7";"0,3";"7,9";"5,2";"14,8";"4,5";"26,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547006;1;01/09/1985;1;"73,6";"108,4";28;6;1;1;0;"1480,6";1;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,3";"0,2";"20,1";"4,4";"73,6";"8,8";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547006;1;01/08/1985;1;"0,3";"0,3";22;1;1;1;0;"1480,6";1;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547006;1;01/07/1985;1;"0,0";"0,0";1;;1;1;0;"1480,6";1;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
